evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Practice 3 Fastest Lap,Max Verstappen,VER,0.45,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.45,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.45,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Isack Hadjar,HAD,0.45,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Ferrari,,0.445,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Ferrari,,0.44,131.096087,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Cadillac,,0.436,184.452333,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Aston Martin,,0.413,189.452333,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.365,1069.7063879999998,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Kimi Antonelli,ANT,0.36,1378.957132,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.335,326.34222700000004,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,George Russell,RUS,0.335,3435.087513,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lewis Hamilton,HAM,0.31,2044.4829770000003,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mclaren Mastercard,,0.295,373.594541,2026-06-27
Hungarian Grand Prix: Driver Winner,Lewis Hamilton,HAM,0.29,12395.158448000002,2026-06-27
Hungarian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.28,30531.419207999996,2026-06-27
Hungarian Grand Prix: Driver Winner,Charles Leclerc,LEC,0.275,23911.454518999933,2026-06-27
Will it rain during the Hungarian Grand Prix?,Will it rain during the Hungarian Grand Prix?,,0.275,22,2026-07-24
Hungarian Grand Prix: Driver Pole Position,Charles Leclerc,LEC,0.265,2389.1039370000017,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Arvid Lindblad,LIN,0.255,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Liam Lawson,LAW,0.255,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Fernando Alonso,ALO,0.25,,2026-06-27
