evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Practice 3 Fastest Lap,Franco Colapinto,COL,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Nico Hulkenberg,HUL,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Valtteri Bottas,BOT,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lewis Hamilton,HAM,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oliver Bearman,BEA,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Arvid Lindblad,LIN,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lance Stroll,STR,0.41,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Pierre Gasly,GAS,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Fernando Alonso,ALO,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Alexander Albon,ALB,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Gabriel Bortoleto,BOR,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Sergio Perez,PER,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Charles Leclerc,LEC,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Esteban Ocon,OCO,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Kimi Antonelli,ANT,0.405,3.08,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Max Verstappen,VER,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Carlos Sainz Jr.,SAI,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Nico Hulkenberg,HUL,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,George Russell,RUS,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Arvid Lindblad,LIN,0.405,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Sergio Perez,PER,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lando Norris,NOR,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Kimi Antonelli,ANT,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Max Verstappen,VER,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Oscar Piastri,PIA,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,George Russell,RUS,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Arvid Lindblad,LIN,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Isack Hadjar,HAD,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lance Stroll,STR,0.405,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Franco Colapinto,COL,0.405,2.62,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lewis Hamilton,HAM,0.4,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Fernando Alonso,ALO,0.4,93.57,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Sergio Perez,PER,0.4,93.93,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Kimi Antonelli,ANT,0.395,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Alexander Albon,ALB,0.395,88.53,2026-06-27
Hungarian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.39,1506.0076020000004,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Fernando Alonso,ALO,0.385,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Gabriel Bortoleto,BOR,0.385,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Esteban Ocon,OCO,0.385,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Nico Hulkenberg,HUL,0.385,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Oliver Bearman,BEA,0.385,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Liam Lawson,LAW,0.385,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Alpine,,0.38,8.72,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Audi Revolut,,0.38,8.72,2026-06-27
Belgian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.36,1651.75768,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.285,1793.336053,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Aston Martin,,0.2805,382.712,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.23,421.0454950000001,2026-06-20
Hungarian Grand Prix: Driver Winner,George Russell,RUS,0.19,1213.7218219999997,2026-06-27
Belgian Grand Prix: Driver Fastest Lap,Max Verstappen,VER,0.185,245.69917000000004,2026-06-20
Belgian Grand Prix: Driver Winner,Max Verstappen,VER,0.1845,52707.93495500001,2026-06-20
Will there be a red flag during the 2026 F1 Belgian Grand Prix?,Will there be a red flag during the 2026 F1 Belgian Grand Prix?,,0.175,123.78946699999999,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,George Russell,RUS,0.16,92.282351,2026-06-20
F1 Drivers' Champion,George Russell,RUS,0.155,2427187.8386109904,2025-12-09
Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,,0.15,5.263156,2026-06-27
Hungarian Grand Prix: Driver Winner,Lewis Hamilton,HAM,0.14,1790.4517079999996,2026-06-27
Belgian Grand Prix: Which Constructor Scores 1st?,Red Bull,,0.125,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.125,4926.155363000001,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Lewis Hamilton,HAM,0.12,963.833404,2026-06-20
Hungarian Grand Prix: Driver Winner,Charles Leclerc,LEC,0.12,1422.1711740000003,2026-06-27
F1 Constructors' Champion,Ferrari,,0.119,591390.7491330017,2025-12-09
F1 Drivers' Champion,Lewis Hamilton,HAM,0.11,5037961.035229929,2025-12-09
Belgian Grand Prix: Which Constructor Scores 1st?,Mclaren Mastercard,,0.09,,2026-06-20
Belgian Grand Prix: Driver Winner,George Russell,RUS,0.085,19002.319269000014,2026-06-20
Hungarian Grand Prix: Driver Winner,Max Verstappen,VER,0.08,1491.759992,2026-06-27
Belgian Grand Prix: Driver Fastest Lap,Charles Leclerc,LEC,0.07,132.20000000000002,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Lando Norris,NOR,0.058,70.516085,2026-06-20
Hungarian Grand Prix: Driver Winner,Lando Norris,NOR,0.055,1053.5158069999998,2026-06-27
Hungarian Grand Prix: Driver Winner,Oscar Piastri,PIA,0.045,1691.7278709999998,2026-06-27
Belgian Grand Prix: Driver Winner,Lewis Hamilton,HAM,0.0385,28148.533889999995,2026-06-20
Belgian Grand Prix: Driver Winner,Charles Leclerc,LEC,0.0365,41951.06032099998,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.036,103.03613299999999,2026-06-20
F1 Drivers' Champion,Max Verstappen,VER,0.0335,5710213.762538969,2025-12-09
F1 Drivers' Champion,Charles Leclerc,LEC,0.0325,5005783.776708017,2025-12-09
Belgian Grand Prix: Driver Fastest Lap,Isack Hadjar,HAD,0.0305,42.602809,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Isack Hadjar,HAD,0.029,1324.4114069999998,2026-06-20
F1 Drivers' Champion,Lando Norris,NOR,0.0265,5838319.00756204,2025-12-09
Belgian Grand Prix: Driver Fastest Lap,Oscar Piastri,PIA,0.025,80.700239,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Arvid Lindblad,LIN,0.0215,101.48068,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Williams,,0.02,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.02,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Cadillac,,0.02,,2026-06-20
Belgian Grand Prix: Driver Winner,Lando Norris,NOR,0.018,15466.605613999998,2026-06-20
F1 Constructors' Champion,McLaren,,0.0155,1644503.020990992,2025-12-09
Hungarian Grand Prix: Constructor Pole Position,Aston Martin,,0.0145,8.72,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Williams,,0.0145,8.72,2026-06-27
Belgian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.014,71.518569,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.0125,87.6879,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Pierre Gasly,GAS,0.0115,78,2026-06-20
