evento,driver,codice,prob_mercato,volume,data
Belgian Grand Prix: Driver Fastest Lap,Esteban Ocon,OCO,0.485,,2026-06-20
Hungarian Grand Prix: Constructor Pole Position,Alpine,,0.485,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mercedes,,0.485,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Christian Lundgaard,,0.485,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Christian Rasmussen,,0.485,,2026-07-06
Hungarian Grand Prix: Practice 1 Fastest Lap,Carlos Sainz Jr.,SAI,0.48,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Pierre Gasly,GAS,0.48,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Nico Hulkenberg,HUL,0.475,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Patricio O'Ward,,0.475,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Rinus Veekay,,0.475,,2026-07-06
Hungarian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.47,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lewis Hamilton,HAM,0.47,,2026-06-27
Belgian Grand Prix: Driver Pole Position,Franco Colapinto,COL,0.465,,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Valtteri Bottas,BOT,0.465,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Valtteri Bottas,BOT,0.465,,2026-06-20
Hungarian Grand Prix: Practice 1 Fastest Lap,Alexander Albon,ALB,0.465,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Kyffin Simpson,,0.465,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Takuma Sato,,0.465,,2026-07-06
Belgian Grand Prix: Driver Pole Position,Valtteri Bottas,BOT,0.46,,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Carlos Sainz Jr.,SAI,0.46,,2026-06-20
Hungarian Grand Prix: Constructor Pole Position,Tgr Haas,,0.46,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lance Stroll,STR,0.46,,2026-06-27
Belgian Grand Prix: Which Constructor Scores 1st?,Williams,,0.455,,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.455,,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Mclaren Mastercard,,0.455,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oscar Piastri,PIA,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Aston Martin,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Williams,,0.455,,2026-06-27
