evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Driver Pole Position,Sergio Perez,PER,0.42,50,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.42,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Franco Colapinto,COL,0.42,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mclaren Mastercard,,0.42,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Sergio Perez,PER,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Valtteri Bottas,BOT,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,George Russell,RUS,0.42,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Oscar Piastri,PIA,0.42,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oliver Bearman,BEA,0.42,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Alpine,,0.4185,8.72,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.415,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Racing Bulls,,0.415,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lewis Hamilton,HAM,0.415,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Williams,,0.415,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Pierre Gasly,GAS,0.415,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Fernando Alonso,ALO,0.415,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lando Norris,NOR,0.415,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Gabriel Bortoleto,BOR,0.415,,2026-06-27
Belgian Grand Prix: Driver Fastest Lap,Kimi Antonelli,ANT,0.41,94.35815500000001,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Mclaren Mastercard,,0.41,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Red Bull,,0.41,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Racing Bulls,,0.41,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Franco Colapinto,COL,0.41,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Carlos Sainz Jr.,SAI,0.41,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lando Norris,NOR,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lewis Hamilton,HAM,0.41,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Red Bull,,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Isack Hadjar,HAD,0.405,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Liam Lawson,LAW,0.405,,2026-06-27
